,Date andtime (UTC),"Version,Booster [a]",Launch site,Payload[b],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,date,day,year,month,time,season
72,25 July 201922:01[459],F9 B5 ♺ B1056.2[460],"CCSFS,SLC-40",SpaceX CRS-18[138](Dragon C108.3 ♺ ),"2,268 kg (5,000 lb)[459] (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success(ground pad),2019-07-25 22:01:00,Thursday,2019,7,22:01:00,Summer
73,6 August 201923:23[466],F9 B5 ♺ B1047.3[467],"CCSFS,SLC-40",AMOS-17[468],"6,500 kg (14,300 lb)[469]",GTO,Spacecom,Success,No attempt[469],2019-08-06 23:23:00,Tuesday,2019,8,23:23:00,Summer
74,11 November 201914:56[474],F9 B5 ♺ B1048.4,"CCSFS,SLC-40",Starlink 1 v1.0 (60 satellites),"15,600 kg (34,400 lb)[430]",LEO,SpaceX,Success,Success(drone ship),2019-11-11 14:56:00,Monday,2019,11,14:56:00,Autumn
75,5 December 201917:29[476],F9 B5 B1059.1[477],"CCSFS,SLC-40",SpaceX CRS-19[478](Dragon C106.3 ♺ ),"2,617 kg (5,769 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success(drone ship),2019-12-05 17:29:00,Thursday,2019,12,17:29:00,Winter
76,17 December 201900:10[481],F9 B5 ♺ B1056.3[477],"CCSFS,SLC-40",JCSat-18 / Kacific 1[482],"6,956 kg (15,335 lb)[481]",GTO,Sky Perfect JSATKacific 1,Success,Success(drone ship),2019-12-17 00:10:00,Tuesday,2019,12,00:10:00,Winter
77,25 November 202002:13[116],F9 B5 ♺ B1049.7[117],"CCSFS,SLC-40",Starlink 15 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),2020-11-25 02:13:00,Wednesday,2020,11,02:13:00,Autumn
78,6 December 202016:17:08[118],F9 B5 ♺ B1058.4[119],"KSC,LC-39A",SpaceX CRS-21(Dragon C208.1),"2,972 kg (6,552 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success(drone ship),2020-12-06 16:17:00,Sunday,2020,12,16:17:00,Winter
79,13 December 202017:30:00[123],F9 B5 ♺ B1051.7,"CCSFS,SLC-40[124]",SXM-7,"7,000 kg (15,000 lb)",GTO,Sirius XM,Success,Success(drone ship),2020-12-13 17:30:00,Sunday,2020,12,17:30:00,Winter
80,19 December 202014:00:00[129],F9 B5 ♺ B1059.5,"KSC,LC-39A",NROL-108,Classified,LEO,NRO,Success,Success(ground pad),2020-12-19 14:00:00,Saturday,2020,12,14:00:00,Winter
81,8 January 202102:15[134],F9 B5 ♺ B1060.4,"CCSFS,SLC-40",Türksat 5A[135],"3,500 kg (7,700 lb)",GTO,Türksat,Success,Success(drone ship),2021-01-08 02:15:00,Friday,2021,1,02:15:00,Winter
